location,count,link
"mallard creek (stream)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#mallard%20creek%20(stream)"
"payette (forest)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#payette%20(forest)"
"new jersey (state)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#new%20jersey%20(state)"
"the little north fork (stream)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20little%20north%20fork%20(stream)"
"targhee national forests (forest)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#targhee%20national%20forests%20(forest)"
"red mountain (landform)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#red%20mountain%20(landform)"
"the united states (country)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20united%20states%20(country)"
"the south fork (stream)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20south%20fork%20(stream)"
"priest lake (lake)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#priest%20lake%20(lake)"
"cayuse-kelly creek (stream)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#cayuse-kelly%20creek%20(stream)"
"salmon",6,"https://thecdil.github.io/wilderness-hearings/browse.html#salmon"
"lemhi (landform)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#lemhi%20(landform)"
"boise national forest (forest)",6,"https://thecdil.github.io/wilderness-hearings/browse.html#boise%20national%20forest%20(forest)"
"orofino",5,"https://thecdil.github.io/wilderness-hearings/browse.html#orofino"
"arizona (state)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#arizona%20(state)"
"mccall",5,"https://thecdil.github.io/wilderness-hearings/browse.html#mccall"
"los angeles (city)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#los%20angeles%20(city)"
"challis (forest)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#challis%20(forest)"
"worm creek (stream)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#worm%20creek%20(stream)"
"clearwater county (county)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#clearwater%20county%20(county)"
"mountain (landform)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#mountain%20(landform)"
"the boise national forest (forest)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20boise%20national%20forest%20(forest)"
"idaho panhandle national forest (forest)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20panhandle%20national%20forest%20(forest)"
"bighorn-weitas (wilderness)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#bighorn-weitas%20(wilderness)"
"bargamin creek (stream)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#bargamin%20creek%20(stream)"
"bighorn weitas (wilderness)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#bighorn%20weitas%20(wilderness)"
"great burn-cayuse (wilderness)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#great%20burn-cayuse%20(wilderness)"
"pullman",5,"https://thecdil.github.io/wilderness-hearings/browse.html#pullman"
"st. joe (stream)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#st.%20joe%20(stream)"
"burns creek (stream)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#burns%20creek%20(stream)"
"scott mountain (landform)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#scott%20mountain%20(landform)"
"caribou (forest)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#caribou%20(forest)"
"sawtooth wilderness area (wilderness)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#sawtooth%20wilderness%20area%20(wilderness)"
"st. maries",5,"https://thecdil.github.io/wilderness-hearings/browse.html#st.%20maries"
"great burn area (wilderness)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#great%20burn%20area%20(wilderness)"
"newsome creek (stream)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#newsome%20creek%20(stream)"
"overthrust belt (landform)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#overthrust%20belt%20(landform)"
"yellow pine (city)",5,"https://thecdil.github.io/wilderness-hearings/browse.html#yellow%20pine%20(city)"
"maryland (state)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#maryland%20(state)"
"alene river (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#alene%20river%20(stream)"
"running creek (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#running%20creek%20(stream)"
"lochsa river (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#lochsa%20river%20(stream)"
"sagle, idaho",4,"https://thecdil.github.io/wilderness-hearings/browse.html#sagle,%20idaho"
"pioneer mountains (landform)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#pioneer%20mountains%20(landform)"
"pocatello",4,"https://thecdil.github.io/wilderness-hearings/browse.html#pocatello"
"yuba river (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#yuba%20river%20(stream)"
"minnesaka (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#minnesaka%20(stream)"
"new york city (city)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#new%20york%20city%20(city)"
"western slope (landform)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#western%20slope%20(landform)"
"michigan (state)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#michigan%20(state)"
"scotchmans peak (landform)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#scotchmans%20peak%20(landform)"
"boulder creek (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#boulder%20creek%20(stream)"
"ketchum (city)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#ketchum%20(city)"
"bonner (county)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#bonner%20(county)"
"county (county)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#county%20(county)"
"upper priest lake (lake)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#upper%20priest%20lake%20(lake)"
"british columbia (state)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#british%20columbia%20(state)"
"maine (state)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#maine%20(state)"
"moyie springs",4,"https://thecdil.github.io/wilderness-hearings/browse.html#moyie%20springs"
"minnisoka creek (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#minnisoka%20creek%20(stream)"
"colorado (state)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#colorado%20(state)"
"cow creek (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#cow%20creek%20(stream)"
"isabella creek (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#isabella%20creek%20(stream)"
"kelly and cayuse creeks (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#kelly%20and%20cayuse%20creeks%20(stream)"
"alpine (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#alpine%20(stream)"
"the great burn (wilderness)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20great%20burn%20(wilderness)"
"needles peak (landform)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#needles%20peak%20(landform)"
"minnesaka creek (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#minnesaka%20creek%20(stream)"
"europe (continent)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#europe%20(continent)"
"mount borah (landform)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#mount%20borah%20(landform)"
"moose mountain (landform)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#moose%20mountain%20(landform)"
"rocky mountain (landform)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#rocky%20mountain%20(landform)"
"riggins (city)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#riggins%20(city)"
"salmon national forest (forest)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#salmon%20national%20forest%20(forest)"
"fairfield (city)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#fairfield%20(city)"
"lionhead (landform)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#lionhead%20(landform)"
"red river district (forest)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#red%20river%20district%20(forest)"
"snake river (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#snake%20river%20(stream)"
"north lemhi (landform)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#north%20lemhi%20(landform)"
"stump creek (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#stump%20creek%20(stream)"
"mink creek (stream)",4,"https://thecdil.github.io/wilderness-hearings/browse.html#mink%20creek%20(stream)"
"cache crest (landform)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#cache%20crest%20(landform)"
"middle fork (stream)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#middle%20fork%20(stream)"
"nez perce county (county)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#nez%20perce%20county%20(county)"
"sneakfoot meadows (forest)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#sneakfoot%20meadows%20(forest)"
"dixie (city)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#dixie%20(city)"
"yellowstone national park (forest)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#yellowstone%20national%20park%20(forest)"
"the united states of america (country)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#the%20united%20states%20of%20america%20(country)"
"hungery creek (stream)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#hungery%20creek%20(stream)"
"clarkia (city)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#clarkia%20(city)"
"mill creek (stream)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#mill%20creek%20(stream)"
"boundary countys (county)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#boundary%20countys%20(county)"
"blaine county",3,"https://thecdil.github.io/wilderness-hearings/browse.html#blaine%20county"
"massachusetts (state)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#massachusetts%20(state)"
"cataldo, idaho",3,"https://thecdil.github.io/wilderness-hearings/browse.html#cataldo,%20idaho"
"ohio (state)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#ohio%20(state)"
"lakes butte (lake)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#lakes%20butte%20(lake)"
"collins creek (stream)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#collins%20creek%20(stream)"
"parker ridge (landform)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#parker%20ridge%20(landform)"
"mount jefferson (landform)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#mount%20jefferson%20(landform)"
"west mink creek (stream)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#west%20mink%20creek%20(stream)"
"headquarters (city)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#headquarters%20(city)"
"switzerland (country)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#switzerland%20(country)"
"elk city, idaho",3,"https://thecdil.github.io/wilderness-hearings/browse.html#elk%20city,%20idaho"
"pullman (city)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#pullman%20(city)"
"black canyon (landform)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#black%20canyon%20(landform)"
"sheep creek (stream)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#sheep%20creek%20(stream)"
"texas (state)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#texas%20(state)"
"louisiana (state)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#louisiana%20(state)"
"north lemhis (landform)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#north%20lemhis%20(landform)"
"tyler peak (landform)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#tyler%20peak%20(landform)"
"lime creek (stream)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#lime%20creek%20(stream)"
"moose creek (stream)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#moose%20creek%20(stream)"
"naples (city)",3,"https://thecdil.github.io/wilderness-hearings/browse.html#naples%20(city)"
