subject,count,link
"chairman, fish and game committee, idaho wildlife federation",1,"https://thecdil.github.io/wilderness-hearings/browse.html#chairman,%20fish%20and%20game%20committee,%20idaho%20wildlife%20federation"
"idaho fish and game commision.",1,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20fish%20and%20game%20commision."
"director, blaine county community education",1,"https://thecdil.github.io/wilderness-hearings/browse.html#director,%20blaine%20county%20community%20education"
"president, boise valley fly fishermen",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20boise%20valley%20fly%20fishermen"
"idaho gem club",1,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20gem%20club"
"owyhee county farm bureau board of director",1,"https://thecdil.github.io/wilderness-hearings/browse.html#owyhee%20county%20farm%20bureau%20board%20of%20director"
"regional representative of the national audubon society, golden eagle audubon society",1,"https://thecdil.github.io/wilderness-hearings/browse.html#regional%20representative%20of%20the%20national%20audubon%20society,%20golden%20eagle%20audubon%20society"
"chairperson, southeast idaho timber industry",1,"https://thecdil.github.io/wilderness-hearings/browse.html#chairperson,%20southeast%20idaho%20timber%20industry"
"resource manager louisiana pacific corp.",1,"https://thecdil.github.io/wilderness-hearings/browse.html#resource%20manager%20louisiana%20pacific%20corp."
"idaho stud mill, idaho forest industries",1,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20stud%20mill,%20idaho%20forest%20industries"
"forest lands manager, champion international corp",1,"https://thecdil.github.io/wilderness-hearings/browse.html#forest%20lands%20manager,%20champion%20international%20corp"
"president, garland call pole co., and heritage solid wood homes",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20garland%20call%20pole%20co.,%20and%20heritage%20solid%20wood%20homes"
"eastern idaho group of sierra club",1,"https://thecdil.github.io/wilderness-hearings/browse.html#eastern%20idaho%20group%20of%20sierra%20club"
"committee for idaho&#39",1,"https://thecdil.github.io/wilderness-hearings/browse.html#committee%20for%20idaho&%2339"
"s high desert",1,"https://thecdil.github.io/wilderness-hearings/browse.html#s%20high%20desert"
"portneuf valley audubon society",1,"https://thecdil.github.io/wilderness-hearings/browse.html#portneuf%20valley%20audubon%20society"
"chairwoman, idaho conservation league",1,"https://thecdil.github.io/wilderness-hearings/browse.html#chairwoman,%20idaho%20conservation%20league"
"president, greater sawtooth preservation council",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20greater%20sawtooth%20preservation%20council"
"earth first",1,"https://thecdil.github.io/wilderness-hearings/browse.html#earth%20first"
"anschutz corp.",1,"https://thecdil.github.io/wilderness-hearings/browse.html#anschutz%20corp."
"administrative assistant, mineral and chemical division, j. r. simplot co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#administrative%20assistant,%20mineral%20and%20chemical%20division,%20j.%20r.%20simplot%20co"
"legislative chairman, american association of university women, idaho falls branch",1,"https://thecdil.github.io/wilderness-hearings/browse.html#legislative%20chairman,%20american%20association%20of%20university%20women,%20idaho%20falls%20branch"
"regional representative, national audubon society",1,"https://thecdil.github.io/wilderness-hearings/browse.html#regional%20representative,%20national%20audubon%20society"
"idaho state representative",1,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20state%20representative"
"shell oil co.",1,"https://thecdil.github.io/wilderness-hearings/browse.html#shell%20oil%20co."
"wexpro co.",1,"https://thecdil.github.io/wilderness-hearings/browse.html#wexpro%20co."
"atlantic richfield co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#atlantic%20richfield%20co"
"public lands coordinator, conoco",1,"https://thecdil.github.io/wilderness-hearings/browse.html#public%20lands%20coordinator,%20conoco"
"idaho women in timber",1,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20women%20in%20timber"
"lumber production industrial workers local no. 1117",1,"https://thecdil.github.io/wilderness-hearings/browse.html#lumber%20production%20industrial%20workers%20local%20no.%201117"
"a u.s. senator from the state of idaho",1,"https://thecdil.github.io/wilderness-hearings/browse.html#a%20u.s.%20senator%20from%20the%20state%20of%20idaho"
"president, idaho trail machines association",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20idaho%20trail%20machines%20association"
"outdoors unlimited, inc",1,"https://thecdil.github.io/wilderness-hearings/browse.html#outdoors%20unlimited,%20inc"
"pocatello chapter, idaho conservation league",1,"https://thecdil.github.io/wilderness-hearings/browse.html#pocatello%20chapter,%20idaho%20conservation%20league"
"vice president, idaho farm bureau federation",1,"https://thecdil.github.io/wilderness-hearings/browse.html#vice%20president,%20idaho%20farm%20bureau%20federation"
"state senator from the state of idaho",1,"https://thecdil.github.io/wilderness-hearings/browse.html#state%20senator%20from%20the%20state%20of%20idaho"
"idaho fish and game commission",1,"https://thecdil.github.io/wilderness-hearings/browse.html#idaho%20fish%20and%20game%20commission"
"president upper snake river chapter, trout unlimited",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president%20upper%20snake%20river%20chapter,%20trout%20unlimited"
"president, idaho falls trail machine association",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20idaho%20falls%20trail%20machine%20association"
"president, clark county stockgrowers association",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20clark%20county%20stockgrowers%20association"
"monsanto co",1,"https://thecdil.github.io/wilderness-hearings/browse.html#monsanto%20co"
"president, lemhi county cattle &amp",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20lemhi%20county%20cattle%20&amp"
"horse growers association",1,"https://thecdil.github.io/wilderness-hearings/browse.html#horse%20growers%20association"
"president, idaho alpine club",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20idaho%20alpine%20club"
"federation of fly fishers",1,"https://thecdil.github.io/wilderness-hearings/browse.html#federation%20of%20fly%20fishers"
"president, bonneville county sportsmenâ€™s association",1,"https://thecdil.github.io/wilderness-hearings/browse.html#president,%20bonneville%20county%20sportsmen%C3%A2%E2%82%ACTMs%20association"
"past president, central idaho rod &amp",1,"https://thecdil.github.io/wilderness-hearings/browse.html#past%20president,%20central%20idaho%20rod%20&amp"
"gun club",1,"https://thecdil.github.io/wilderness-hearings/browse.html#gun%20club"
"jefferson county cattlemen association",1,"https://thecdil.github.io/wilderness-hearings/browse.html#jefferson%20county%20cattlemen%20association"
"boundary backpackers",1,"https://thecdil.github.io/wilderness-hearings/browse.html#boundary%20backpackers"
"kootenai environmental alliance",1,"https://thecdil.github.io/wilderness-hearings/browse.html#kootenai%20environmental%20alliance"
"plum creek timber co., inc.",1,"https://thecdil.github.io/wilderness-hearings/browse.html#plum%20creek%20timber%20co.,%20inc."
"resource manager, idaho forest industries",1,"https://thecdil.github.io/wilderness-hearings/browse.html#resource%20manager,%20idaho%20forest%20industries"
